Time (s),White Line Pos,User Input,Actual Position,Margin of Error,Coins Collected
0.0334452,0.1123,-0.4,0.01,191.0953,N/A
0.0527709,0.1123,-0.4,0.01,191.0953,N/A
0.0727845,0.1123,-0.4,0.01,191.0953,N/A
0.09306511,0.1123,-0.4,0.01,191.0953,N/A
0.112825,0.1123,-0.4,0.01,191.0953,N/A
0.1328201,0.1123,-0.4,0.01,191.0953,N/A
0.1528194,0.1123,-0.4,0.01,191.0953,N/A
0.1733044,0.1123,-0.4,0.01,191.0953,N/A
0.1931803,0.1123,-0.4,0.01,191.0953,N/A
0.2131168,0.1123,-0.4,0.01,191.0953,N/A
0.2320709,0.1123,-0.4,0.01,191.0953,N/A
0.2526043,0.1123,-0.4,0.01,191.0953,N/A
0.272325,0.1123,.4,0.01,191.0953,N/A
0.2924246,0.1123,.4,0.01,191.0953,N/A
0.3130978,0.1123,.4,0.01,191.0953,N/A
0.3332504,0.1123,.4,0.01,191.0953,N/A
0.3532627,0.1123,.4,0.01,191.0953,N/A
0.3732547,0.1123,.4,0.01,191.0953,N/A
0.3922997,0.1123,.4,0.01,191.0953,N/A
0.4132866,0.1123,.4,0.01,191.0953,N/A
0.4329843,0.1123,.4,0.01,191.0953,N/A
0.4534124,0.1123,.4,0.01,191.0953,N/A
0.4733765,0.1123,.4,0.01,191.0953,N/A
0.4934327,0.1123,.4,0.01,191.0953,N/A
0.5122853,0.1123,.4,0.01,191.0953,N/A
0.533356,0.1123,.4,0.01,191.0953,N/A
0.5532755,0.1123,,0.01,191.0953,N/A
0.5717749,0.1123,,0.01,191.0953,N/A
0.5933274,0.1123,,0.01,191.0953,N/A
0.6122792,0.1123,,0.01,191.0953,N/A
0.6313358,0.1123,4,0.01,191.0953,N/A
0.653319,0.1123,4,0.01,191.0953,N/A
0.6733165,0.1123,4,0.01,191.0953,N/A
0.6924405,0.1123,4,0.01,191.0953,N/A
0.7128834,0.1123,4,0.01,191.0953,N/A
0.7318407,0.1123,.4,0.01,191.0953,N/A
0.7528744,0.1123,.4,0.01,191.0953,N/A
0.7734799,0.1123,.4,0.01,191.0953,N/A
0.7923151,0.1123,.4,0.01,191.0953,N/A
0.8124823,0.1123,.4,0.01,191.0953,N/A
0.8333214,0.1123,.4,0.01,191.0953,N/A
