Time (s),White Line Pos,User Input,Actual Position,Margin of Error,Coins Collected
0.0288242,0.1123,-0.4,0.01,191.0953,N/A
0.0490022,0.1123,-0.4,0.01,191.0953,N/A
0.0687865,0.1123,-0.4,0.01,191.0953,N/A
0.08904061,0.1123,-0.4,0.01,191.0953,N/A
0.109139,0.1123,-0.4,0.01,191.0953,N/A
0.1291409,0.1123,-0.4,0.01,191.0953,N/A
0.1476339,0.1123,4,0.01,191.0953,N/A
0.1679117,0.1123,4,0.01,191.0953,N/A
0.1876755,0.1123,4,0.01,191.0953,N/A
0.2075887,0.1123,4,0.01,191.0953,N/A
0.228725,0.1123,4,0.01,191.0953,N/A
0.2485082,0.1123,.4,0.01,191.0953,N/A
0.2689234,0.1123,.4,0.01,191.0953,N/A
0.2885967,0.1123,.4,0.01,191.0953,N/A
0.3084284,0.1123,.4,0.01,191.0953,N/A
0.3274445,0.1123,.4,0.01,191.0953,N/A
0.3486169,0.1123,.4,0.01,191.0953,N/A
0.3677366,0.1123,.4,0.01,191.0953,N/A
0.3884276,0.1123,.4,0.01,191.0953,N/A
0.4075294,0.1123,.4,0.01,191.0953,N/A
0.4280114,0.1123,,0.01,191.0953,N/A
0.4476486,0.1123,,0.01,191.0953,N/A
0.4683243,0.1123,,0.01,191.0953,N/A
0.4890129,0.1123,,0.01,191.0953,N/A
0.5084375,0.1123,,0.01,191.0953,N/A
0.529084,0.1123,,0.01,191.0953,N/A
0.5476013,0.1123,,0.01,191.0953,N/A
0.5689741,0.1123,,0.01,191.0953,N/A
0.5881585,0.1123,,0.01,191.0953,N/A
0.6077654,0.1123,4,0.01,191.0953,N/A
0.6279739,0.1123,4,0.01,191.0953,N/A
0.6491929,0.1123,4,0.01,191.0953,N/A
0.6681543,0.1123,4,0.01,191.0953,N/A
0.6885058,0.1123,.4,0.01,191.0953,N/A
0.7089824,0.1123,.4,0.01,191.0953,N/A
0.7291254,0.1123,.4,0.01,191.0953,N/A
0.7482736,0.1123,.4,0.01,191.0953,N/A
0.7679852,0.1123,.4,0.01,191.0953,N/A
0.7875114,0.1123,.4,0.01,191.0953,N/A
0.808477,0.1123,.4,0.01,191.0953,N/A
0.8280498,0.1123,.4,0.01,191.0953,N/A
0.8486267,0.1123,.4,0.01,191.0953,N/A
0.8689702,0.1123,.4,0.01,191.0953,N/A
0.8884851,0.1123,.4,0.01,191.0953,N/A
0.9079881,0.1123,.4,0.01,191.0953,N/A
0.9276765,0.1123,.4,0.01,191.0953,N/A
0.9488962,0.1123,.4,0.01,191.0953,N/A
0.9674372,0.1123,,0.01,191.0953,N/A
0.987819,0.1123,,0.01,191.0953,N/A
1.00744,0.1123,,0.01,191.0953,N/A
1.028717,0.1123,,0.01,191.0953,N/A
1.047982,0.1123,,0.01,191.0953,N/A
1.06876,0.1123,4,0.01,191.0953,N/A
1.088085,0.1123,4,0.01,191.0953,N/A
1.108248,0.1123,4,0.01,191.0953,N/A
1.128188,0.1123,4,0.01,191.0953,N/A
1.148514,0.1123,.4,0.01,191.0953,N/A
1.167367,0.1123,.4,0.01,191.0953,N/A
1.187498,0.1123,.4,0.01,191.0953,N/A
1.208966,0.1123,.4,0.01,191.0953,N/A
1.228159,0.1123,.4,0.01,191.0953,N/A
1.248617,0.1123,.4,0.01,191.0953,N/A
1.269064,0.1123,.4,0.01,191.0953,N/A
1.289027,0.1123,.4,0.01,191.0953,N/A
1.307689,0.1123,.4,0.01,191.0953,N/A
1.328226,0.1123,.4,0.01,191.0953,N/A
1.347985,0.1123,.4,0.01,191.0953,N/A
1.368974,0.1123,.4,0.01,191.0953,N/A
1.389033,0.1123,.4,0.01,191.0953,N/A
1.407085,0.1123,.4,0.01,191.0953,N/A
1.428058,0.1123,,0.01,191.0953,N/A
1.448653,0.1123,,0.01,191.0953,N/A
1.46856,0.1123,,0.01,191.0953,N/A
1.487772,0.1123,,0.01,191.0953,N/A
1.508889,0.1123,4,0.01,191.0953,N/A
1.528721,0.1123,4,0.01,191.0953,N/A
1.547537,0.1123,4,0.01,191.0953,N/A
1.568565,0.1123,4,0.01,191.0953,N/A
1.588658,0.1123,4,0.01,191.0953,N/A
1.606806,0.1123,.4,0.01,191.0953,N/A
1.628427,0.1123,.4,0.01,191.0953,N/A
1.647701,0.1123,.4,0.01,191.0953,N/A
1.666762,0.1123,.4,0.01,191.0953,N/A
1.687502,0.1123,.4,0.01,191.0953,N/A
1.707844,0.1123,.4,0.01,191.0953,N/A
1.728526,0.1123,.4,0.01,191.0953,N/A
1.748534,0.1123,.4,0.01,191.0953,N/A
1.768734,0.1123,.4,0.01,191.0953,N/A
1.789048,0.1123,.4,0.01,191.0953,N/A
1.807393,0.1123,.4,0.01,191.0953,N/A
1.82837,0.1123,.4,0.01,191.0953,N/A
1.848727,0.1123,.4,0.01,191.0953,N/A
1.867886,0.1123,.4,0.01,191.0953,N/A
1.888893,0.1123,,0.01,191.0953,N/A
1.9078,0.1123,,0.01,191.0953,N/A
1.927718,0.1123,,0.01,191.0953,N/A
1.947159,0.1123,,0.01,191.0953,N/A
1.968883,0.109572,4,0.01272799,188.3839,N/A
1.988518,0.109572,4,0.01272799,188.3839,N/A
2.008059,0.05,4,0.01272799,174.544,N/A
2.0276,0.05,4,0.01272799,174.544,N/A
2.048509,0.05,.4,0.01454667,170.9067,N/A
2.068943,0.04999999,.4,0.01454667,170.9066,N/A
2.087695,0.04999999,.4,0.01454667,170.9066,N/A
2.108435,0.05,.4,0.01454667,170.9067,N/A
2.126775,0.04999999,.4,0.01454667,170.9066,N/A
2.148545,0.05,.4,0.01454667,170.9067,N/A
2.1667,0.05,.4,0.01454667,170.9067,N/A
2.188986,0.05,.4,0.01454667,170.9067,N/A
2.2084,0.05,.4,0.01454667,170.9067,N/A
2.228325,0.05,.4,0.01454667,170.9067,N/A
2.248141,0.05,.4,0.01454667,170.9067,N/A
2.268263,0.05,.4,0.01454667,170.9067,N/A
2.288595,0.05,.4,0.01454667,170.9067,N/A
2.308732,0.05,.4,0.01454667,170.9067,N/A
2.327489,0.05,,0.01454667,170.9067,N/A
2.347764,0.05,,0.01454667,170.9067,N/A
2.368837,0.04999999,,0.01454667,170.9066,N/A
2.387549,0.05,,0.01454667,170.9067,N/A
2.406834,0.05,,0.01454667,170.9067,N/A
2.427573,0.05,4,0.01454667,170.9067,N/A
2.448588,0.04999999,4,0.01454667,170.9066,N/A
2.467488,0.05,4,0.01454667,170.9067,N/A
2.487031,0.05,4,0.01454667,170.9067,N/A
2.50897,0.04999999,.4,0.01454667,170.9066,N/A
2.528916,0.05,.4,0.01454667,170.9067,N/A
2.548399,0.05,.4,0.01454667,170.9067,N/A
2.567637,0.04999999,.4,0.01454667,170.9066,N/A
2.58785,0.05,.4,0.01454667,170.9067,N/A
2.607815,0.05,.4,0.01454667,170.9067,N/A
2.627579,0.04999999,.4,0.01454667,170.9066,N/A
2.646866,0.05,.4,0.01454667,170.9067,N/A
2.668744,0.04999999,.4,0.01454667,170.9066,N/A
2.688461,0.05,.4,0.01454667,170.9067,N/A
2.707389,0.05,.4,0.01454667,170.9067,N/A
2.728426,0.05,.4,0.01454667,170.9067,N/A
2.748688,0.05,.4,0.01454667,170.9067,N/A
2.768789,0.05,.4,0.01454667,170.9067,N/A
2.787403,0.05,,0.01454667,170.9067,N/A
2.80763,0.05,,0.01454667,170.9067,N/A
2.827436,0.05,,0.01454667,170.9067,N/A
2.847796,0.05,,0.01454667,170.9067,N/A
2.868863,0.04999999,4,0.01454667,170.9066,N/A
2.888705,0.04999999,4,0.01454667,170.9066,N/A
2.908928,0.05,4,0.01454667,170.9067,N/A
2.92852,0.05,4,0.01454667,170.9067,N/A
2.947889,0.04999999,4,0.01454667,170.9066,N/A
2.966946,0.05,.4,0.01454667,170.9067,N/A
2.988751,0.05,.4,0.01454667,170.9067,N/A
3.007603,0.05,.4,0.01454667,170.9067,N/A
3.028686,0.05,.4,0.01454667,170.9067,N/A
3.048565,0.05,.4,0.01454667,170.9067,N/A
3.068628,0.04999999,.4,0.01454667,170.9066,N/A
3.087704,0.04999999,.4,0.01454667,170.9066,N/A
3.107906,0.05,.4,0.01454667,170.9067,N/A
3.12782,0.05,.4,0.01454667,170.9067,N/A
3.148679,0.05,.4,0.01454667,170.9067,N/A
3.167204,0.05,.4,0.01454667,170.9067,N/A
3.188168,0.05,.4,0.01454667,170.9067,N/A
3.208496,0.04999999,.4,0.01454667,170.9066,N/A
3.228388,0.05,.4,0.01454667,170.9067,N/A
3.248019,0.05,,0.01454667,170.9067,N/A
3.268599,0.05,,0.01454667,170.9067,N/A
3.288073,0.06656956,,0.01454667,178.1482,N/A
3.307827,0.09499998,,0.01454667,184.6877,N/A
3.328327,0.095,4,0.01454667,184.6877,N/A
3.347744,0.09499998,4,0.01454667,184.6877,N/A
3.368546,0.09500001,4,0.01454667,184.6877,N/A
3.388568,0.095,4,0.01454667,184.6877,N/A
3.40749,0.095,4,0.01454667,184.6877,N/A
3.428485,0.09499998,.4,0.01454667,184.6877,N/A
3.448863,0.095,.4,0.01454667,184.6877,N/A
3.466684,0.09500001,.4,0.01454667,184.6877,N/A
3.488044,0.095,.4,0.01454667,184.6877,N/A
3.50893,0.095,.4,0.01454667,184.6877,N/A
3.528505,0.09500001,.4,0.01454667,184.6877,N/A
3.549011,0.095,.4,0.01454667,184.6877,N/A
3.568759,0.095,.4,0.01454667,184.6877,N/A
3.587055,0.09499998,.4,0.01454667,184.6877,N/A
3.608463,0.09499998,.4,0.01454667,184.6877,N/A
3.628905,0.095,.4,0.01454667,184.6877,N/A
3.647694,0.09499998,.4,0.01454667,184.6877,N/A
3.669003,0.09500001,.4,0.01454667,184.6877,N/A
3.688864,0.095,,0.01454667,184.6877,N/A
3.708775,0.09500001,,0.01454667,184.6877,N/A
3.727587,0.095,,0.01454667,184.6877,N/A
3.748556,0.095,,0.01454667,184.6877,N/A
3.767844,0.09499998,,0.01454667,184.6877,N/A
3.78916,0.095,4,0.01454667,184.6877,N/A
3.808873,0.09499998,4,0.01454667,184.6877,N/A
3.828505,0.095,4,0.01454667,184.6877,N/A
3.849044,0.095,4,0.01454667,184.6877,N/A
3.867395,0.095,4,0.01454667,184.6877,N/A
3.889085,0.095,.4,0.01454667,184.6877,N/A
3.90842,0.09500001,.4,0.01454667,184.6877,N/A
3.926554,0.09499998,.4,0.01454667,184.6877,N/A
3.947555,0.095,.4,0.01454667,184.6877,N/A
3.968623,0.095,.4,0.01454667,184.6877,N/A
3.988312,0.095,.4,0.01454667,184.6877,N/A
4.008818,0.095,.4,0.01454667,184.6877,N/A
4.028821,0.09500001,.4,0.01454667,184.6877,N/A
4.048893,0.09499998,.4,0.01454667,184.6877,N/A
4.067574,0.095,.4,0.01454667,184.6877,N/A
4.088366,0.09500001,.4,0.01454667,184.6877,N/A
4.108869,0.095,.4,0.01454667,184.6877,N/A
