Time (s),White Line Pos,User Input,Actual Position,Margin of Error,Coins Collected
0.0229726,0.1123,-0.4,0.01,191.0953,N/A
0.0427631,0.1123,-0.4,0.01,191.0953,N/A
0.0629287,0.1123,-0.4,0.01,191.0953,N/A
0.08358679,0.1123,-0.4,0.01,191.0953,N/A
0.1034387,0.1123,-0.4,0.01,191.0953,N/A
0.1226001,0.1123,-0.4,0.01,191.0953,N/A
0.1425357,0.1123,-0.4,0.01,191.0953,N/A
0.1625553,0.1123,-0.4,0.01,191.0953,N/A
0.1830558,0.1123,-0.4,0.01,191.0953,N/A
0.203089,0.1123,4,0.01,191.0953,N/A
0.2235503,0.1123,4,0.01,191.0953,N/A
0.2433529,0.1123,4,0.01,191.0953,N/A
0.2627138,0.1123,4,0.01,191.0953,N/A
0.2831335,0.1123,.4,0.01,191.0953,N/A
0.3027137,0.1123,.4,0.01,191.0953,N/A
0.3231049,0.1123,.4,0.01,191.0953,N/A
0.3426085,0.1123,.4,0.01,191.0953,N/A
0.3631662,0.1123,.4,0.01,191.0953,N/A
0.3821133,0.1123,.4,0.01,191.0953,N/A
0.4032416,0.1123,.4,0.01,191.0953,N/A
0.42274,0.1123,.4,0.01,191.0953,N/A
0.4421079,0.1123,.4,0.01,191.0953,N/A
0.4631154,0.1123,,0.01,191.0953,N/A
0.4821379,0.1123,,0.01,191.0953,N/A
0.5016519,0.1123,,0.01,191.0953,N/A
0.5226971,0.1123,,0.01,191.0953,N/A
0.5426188,0.1123,,0.01,191.0953,N/A
0.5626376,0.1123,,0.01,191.0953,N/A
0.5826361,0.1123,,0.01,191.0953,N/A
0.6026646,0.1123,,0.01,191.0953,N/A
0.6226707,0.1123,,0.01,191.0953,N/A
0.6426393,0.1123,4,0.01,191.0953,N/A
0.6636649,0.1123,4,0.01,191.0953,N/A
0.6822976,0.1123,4,0.01,191.0953,N/A
0.7021587,0.1123,4,0.01,191.0953,N/A
0.7222069,0.1123,4,0.01,191.0953,N/A
0.7436781,0.1123,.4,0.01,191.0953,N/A
0.7622994,0.1123,.4,0.01,191.0953,N/A
0.7827159,0.1123,.4,0.01,191.0953,N/A
0.8031841,0.1123,.4,0.01,191.0953,N/A
0.8231941,0.1123,.4,0.01,191.0953,N/A
0.8426787,0.1123,.4,0.01,191.0953,N/A
0.8630471,0.1123,.4,0.01,191.0953,N/A
0.8835719,0.1123,.4,0.01,191.0953,N/A
0.9023519,0.1123,.4,0.01,191.0953,N/A
0.9225723,0.1123,,0.01,191.0953,N/A
0.9436177,0.1123,,0.01,191.0953,N/A
0.9630538,0.1123,,0.01,191.0953,N/A
0.9835523,0.1123,,0.01,191.0953,N/A
1.001862,0.1123,,0.01,191.0953,N/A
1.023545,0.1123,,0.01,191.0953,N/A
1.043067,0.1123,,0.01,191.0953,N/A
1.062071,0.1123,,0.01,191.0953,N/A
1.082794,0.1123,,0.01,191.0953,N/A
1.103098,0.1123,4,0.01,191.0953,N/A
1.12259,0.1123,4,0.01,191.0953,N/A
1.142625,0.1123,4,0.01,191.0953,N/A
1.162698,0.1123,4,0.01,191.0953,N/A
1.183279,0.1123,4,0.01,191.0953,N/A
1.203201,0.1123,.4,0.01,191.0953,N/A
1.222646,0.1123,.4,0.01,191.0953,N/A
1.243141,0.1123,.4,0.01,191.0953,N/A
1.263388,0.1123,.4,0.01,191.0953,N/A
1.282642,0.1123,.4,0.01,191.0953,N/A
1.303613,0.1123,.4,0.01,191.0953,N/A
1.322624,0.1123,.4,0.01,191.0953,N/A
1.342708,0.1123,.4,0.01,191.0953,N/A
1.363615,0.1123,.4,0.01,191.0953,N/A
1.38321,0.1123,,0.01,191.0953,N/A
1.401631,0.1123,,0.01,191.0953,N/A
1.423145,0.1123,,0.01,191.0953,N/A
1.442897,0.1123,,0.01,191.0953,N/A
1.46264,0.1123,,0.01,191.0953,N/A
1.483174,0.1123,,0.01,191.0953,N/A
1.502642,0.1123,,0.01,191.0953,N/A
1.522653,0.1123,,0.01,191.0953,N/A
1.543671,0.1123,,0.01,191.0953,N/A
1.562656,0.1123,4,0.01,191.0953,N/A
1.582664,0.1123,4,0.01,191.0953,N/A
1.602684,0.1123,4,0.01,191.0953,N/A
1.623417,0.1123,4,0.01,191.0953,N/A
1.642699,0.1123,.4,0.01,191.0953,N/A
1.662737,0.1123,.4,0.01,191.0953,N/A
1.683351,0.1123,.4,0.01,191.0953,N/A
1.702249,0.1123,.4,0.01,191.0953,N/A
1.722687,0.1123,.4,0.01,191.0953,N/A
1.743298,0.1123,.4,0.01,191.0953,N/A
1.761697,0.1123,.4,0.01,191.0953,N/A
1.782211,0.1123,.4,0.01,191.0953,N/A
1.802717,0.1123,.4,0.01,191.0953,N/A
1.822348,0.1123,.4,0.01,191.0953,N/A
1.843316,0.1123,,0.01,191.0953,N/A
1.862209,0.1123,,0.01,191.0953,N/A
1.882759,0.1123,,0.01,191.0953,N/A
1.902729,0.1123,,0.01,191.0953,N/A
1.922713,0.1123,,0.01,191.0953,N/A
1.942276,0.1123,,0.01,191.0953,N/A
1.96281,0.1123,,0.01,191.0953,N/A
1.983249,0.1123,,0.01,191.0953,N/A
2.001527,0.05999999,,0.01,183.3333,N/A
2.021833,0.06,4,0.01272799,178.7867,N/A
2.042307,0.06,4,0.01272799,178.7867,N/A
2.063262,0.06000001,4,0.01272799,178.7867,N/A
2.083343,0.06000001,4,0.01272799,178.7867,N/A
2.103255,0.06,.4,0.01454667,175.7556,N/A
2.122744,0.06,.4,0.01454667,175.7556,N/A
2.142744,0.05999999,.4,0.01454667,175.7555,N/A
2.16278,0.05999999,.4,0.01454667,175.7555,N/A
2.182776,0.06,.4,0.01454667,175.7556,N/A
2.202283,0.06,.4,0.01454667,175.7556,N/A
2.222769,0.05999999,.4,0.01454667,175.7555,N/A
2.24279,0.05999999,.4,0.01454667,175.7555,N/A
2.262788,0.06000001,.4,0.01454667,175.7556,N/A
2.283318,0.06,,0.01454667,175.7556,N/A
2.302835,0.06,,0.01454667,175.7556,N/A
2.323505,0.06,,0.01454667,175.7556,N/A
2.34229,0.06,,0.01454667,175.7556,N/A
2.362492,0.05999999,,0.01454667,175.7555,N/A
2.383421,0.06000001,,0.01454667,175.7556,N/A
2.403309,0.06,,0.01454667,175.7556,N/A
2.422094,0.06,,0.01454667,175.7556,N/A
2.442329,0.05999999,,0.01454667,175.7555,N/A
2.463313,0.06,4,0.01454667,175.7556,N/A
2.482329,0.06,4,0.01454667,175.7556,N/A
2.502374,0.05999999,4,0.01454667,175.7555,N/A
2.523404,0.06,4,0.01454667,175.7556,N/A
2.543325,0.05999999,4,0.01454667,175.7555,N/A
2.562483,0.06,.4,0.01454667,175.7556,N/A
2.582551,0.06,.4,0.01454667,175.7556,N/A
2.602043,0.06,.4,0.01454667,175.7556,N/A
2.623286,0.06,.4,0.01454667,175.7556,N/A
2.641932,0.05999999,.4,0.01454667,175.7555,N/A
2.66332,0.06,.4,0.01454667,175.7556,N/A
2.682325,0.05999999,.4,0.01454667,175.7555,N/A
2.702307,0.06,.4,0.01454667,175.7556,N/A
2.72233,0.06,.4,0.01454667,175.7556,N/A
2.742607,0.06,.4,0.01454667,175.7556,N/A
2.762862,0.06,.4,0.01454667,175.7556,N/A
2.782837,0.06,.4,0.01454667,175.7556,N/A
2.802373,0.06,.4,0.01454667,175.7556,N/A
2.822401,0.06000001,,0.01454667,175.7556,N/A
2.842844,0.06,,0.01454667,175.7556,N/A
2.862116,0.06,,0.01454667,175.7556,N/A
2.883403,0.06000001,,0.01454667,175.7556,N/A
2.902376,0.05999999,,0.01454667,175.7555,N/A
2.921846,0.06,4,0.01454667,175.7556,N/A
2.942788,0.06,4,0.01454667,175.7556,N/A
2.962325,0.06,4,0.01454667,175.7556,N/A
2.981845,0.05999999,4,0.01454667,175.7555,N/A
3.00331,0.06,.4,0.01454667,175.7556,N/A
3.022326,0.06,.4,0.01454667,175.7556,N/A
3.042878,0.06,.4,0.01454667,175.7556,N/A
3.061891,0.06,.4,0.01454667,175.7556,N/A
3.082863,0.06,.4,0.01454667,175.7556,N/A
3.103326,0.06,.4,0.01454667,175.7556,N/A
3.12231,0.06,.4,0.01454667,175.7556,N/A
3.142812,0.06,.4,0.01454667,175.7556,N/A
3.162463,0.05999999,.4,0.01454667,175.7555,N/A
3.18284,0.06,.4,0.01454667,175.7556,N/A
3.202375,0.06,.4,0.01454667,175.7556,N/A
3.222337,0.06,.4,0.01454667,175.7556,N/A
3.242328,0.05999999,.4,0.01454667,175.7555,N/A
3.261626,0.06000001,.4,0.01454667,175.7556,N/A
3.283427,0.06,,0.01454667,175.7556,N/A
3.302435,0.06,,0.01454667,175.7556,N/A
3.323287,0.06000001,,0.01454667,175.7556,N/A
3.343457,0.06,,0.01454667,175.7556,N/A
3.362319,0.06,,0.01454667,175.7556,N/A
3.383318,0.06,4,0.01454667,175.7556,N/A
3.402828,0.05999999,4,0.01454667,175.7555,N/A
3.423458,0.05999999,4,0.01454667,175.7555,N/A
3.443318,0.06,4,0.01454667,175.7556,N/A
3.462377,0.05999999,.4,0.01454667,175.7555,N/A
3.483329,0.06,.4,0.01454667,175.7556,N/A
3.50285,0.06,.4,0.01454667,175.7556,N/A
3.522422,0.05999999,.4,0.01454667,175.7555,N/A
3.54349,0.05999999,.4,0.01454667,175.7555,N/A
3.562995,0.06,.4,0.01454667,175.7556,N/A
3.582343,0.06,.4,0.01454667,175.7556,N/A
3.603343,0.06,.4,0.01454667,175.7556,N/A
3.621985,0.06,.4,0.01454667,175.7556,N/A
3.643345,0.05999999,.4,0.01454667,175.7555,N/A
3.662381,0.05999999,.4,0.01454667,175.7555,N/A
3.681987,0.06,.4,0.01454667,175.7556,N/A
3.702946,0.06,.4,0.01454667,175.7556,N/A
3.722052,0.06,.4,0.01454667,175.7556,N/A
3.742326,0.01799705,,0.01454667,119.1719,N/A
3.762087,0.1077533,,0.01454667,186.5,N/A
3.78245,0.1077533,,0.01454667,186.5,N/A
3.802464,0.1077533,,0.01454667,186.5,N/A
3.822747,0.1077533,4,0.01454667,186.5,N/A
3.84203,0.1077533,4,0.01454667,186.5,N/A
3.861674,0.1077533,4,0.01454667,186.5,N/A
3.881845,0.1077533,4,0.01454667,186.5,N/A
3.902368,0.1077533,4,0.01454667,186.5,N/A
3.921856,0.1077533,.4,0.01454667,186.5,N/A
3.941416,0.1077533,.4,0.01454667,186.5,N/A
3.962908,0.1077533,.4,0.01454667,186.5,N/A
3.981528,0.1077533,.4,0.01454667,186.5,N/A
4.001929,0.1077533,.4,0.01454667,186.5,N/A
4.022684,0.1077533,.4,0.01454667,186.5,N/A
4.042583,0.1077533,.4,0.01454667,186.5,N/A
4.063074,0.1077533,.4,0.01454667,186.5,N/A
4.082889,0.1077533,.4,0.01454667,186.5,N/A
4.102353,0.1077533,.4,0.01454667,186.5,N/A
4.123134,0.1077533,.4,0.01454667,186.5,N/A
4.141968,0.1077533,.4,0.01454667,186.5,N/A
4.161452,0.1077533,.4,0.01454667,186.5,N/A
4.181567,0.1077533,.4,0.01454667,186.5,N/A
4.202353,0.1077533,,0.01454667,186.5,N/A
4.222683,0.1077533,,0.01454667,186.5,N/A
4.241844,0.1077533,,0.01454667,186.5,N/A
4.262622,0.1077533,,0.01454667,186.5,N/A
4.282428,0.1077533,4,0.01454667,186.5,N/A
4.30234,0.1077533,4,0.01454667,186.5,N/A
4.321836,0.1077533,4,0.01454667,186.5,N/A
4.342895,0.1077533,4,0.01454667,186.5,N/A
4.361467,0.1077533,4,0.01454667,186.5,N/A
4.383582,0.1077533,.4,0.01454667,186.5,N/A
4.401884,0.1077533,.4,0.01454667,186.5,N/A
4.423542,0.1077533,.4,0.01454667,186.5,N/A
4.441852,0.1077533,.4,0.01454667,186.5,N/A
4.463512,0.1077533,.4,0.01454667,186.5,N/A
4.482995,0.1077533,.4,0.01454667,186.5,N/A
4.503053,0.1077533,.4,0.01454667,186.5,N/A
4.52188,0.1077533,.4,0.01454667,186.5,N/A
4.543057,0.1077533,.4,0.01454667,186.5,N/A
4.562473,0.1077533,.4,0.01454667,186.5,N/A
4.581121,0.1077533,.4,0.01454667,186.5,N/A
4.602144,0.1077533,.4,0.01454667,186.5,N/A
4.622163,0.1077533,.4,0.01454667,186.5,N/A
4.641993,0.1077533,,0.01454667,186.5,N/A
4.663344,0.1077533,,0.01454667,186.5,N/A
4.682098,0.1077533,,0.01454667,186.5,N/A
4.702349,0.1077533,,0.01454667,186.5,N/A
4.723486,0.1077533,,0.01454667,186.5,N/A
4.741513,0.0571597,4,0.01454667,174.5508,N/A
