Time (s),White Line Pos,User Input,Actual Position,Margin of Error
0.0157618,WLP,INPUT,0,Margin of Error
0.0356691,WLP,INPUT,0,Margin of Error
0.05522911,WLP,INPUT,0,Margin of Error
0.0756438,WLP,INPUT,0,Margin of Error
0.09474299,WLP,INPUT,0,Margin of Error
0.1147475,WLP,INPUT,0,Margin of Error
0.1339097,WLP,INPUT,0,Margin of Error
0.1557555,WLP,INPUT,0,Margin of Error
0.1752897,WLP,INPUT,0,Margin of Error
0.1952349,WLP,INPUT,0,Margin of Error
0.2147584,WLP,INPUT,0,Margin of Error
0.2351224,WLP,INPUT,0,Margin of Error
0.2552476,WLP,INPUT,0,Margin of Error
0.274289,WLP,INPUT,0,Margin of Error
0.294376,WLP,INPUT,0,Margin of Error
0.3142954,WLP,INPUT,0,Margin of Error
0.335283,WLP,INPUT,0,Margin of Error
0.3558179,WLP,INPUT,0,Margin of Error
0.3747761,WLP,INPUT,0,Margin of Error
0.3957888,WLP,INPUT,0,Margin of Error
0.4148197,WLP,INPUT,0,Margin of Error
0.4357996,WLP,INPUT,0,Margin of Error
0.4548088,WLP,INPUT,0,Margin of Error
0.47579,WLP,INPUT,0,Margin of Error
0.4948388,WLP,INPUT,0,Margin of Error
0.5158086,WLP,INPUT,0,Margin of Error
0.5347878,WLP,INPUT,0,Margin of Error
0.5548077,WLP,INPUT,0,Margin of Error
0.5748202,WLP,INPUT,0,Margin of Error
0.5949892,WLP,INPUT,0,Margin of Error
0.6147804,WLP,INPUT,0,Margin of Error
0.6355426,WLP,INPUT,0,Margin of Error
0.6553159,WLP,INPUT,0,Margin of Error
0.6744193,WLP,INPUT,0,Margin of Error
0.6953815,WLP,INPUT,0,Margin of Error
0.7138611,WLP,INPUT,0,Margin of Error
0.7262747,WLP,INPUT,0,Margin of Error
0.7551754,WLP,INPUT,0,Margin of Error
0.7744726,WLP,INPUT,0,Margin of Error
0.7953554,WLP,INPUT,0,Margin of Error
0.815675,WLP,INPUT,0,Margin of Error
0.834564,WLP,INPUT,0,Margin of Error
0.8552006,WLP,INPUT,0,Margin of Error
0.8745588,WLP,INPUT,0,Margin of Error
0.8947964,WLP,INPUT,0,Margin of Error
0.915468,WLP,INPUT,0,Margin of Error
0.9358003,WLP,INPUT,0,Margin of Error
0.9548159,WLP,INPUT,0,Margin of Error
0.9748126,WLP,INPUT,0,Margin of Error
0.9953662,WLP,INPUT,0,Margin of Error
1.014863,WLP,INPUT,0,Margin of Error
1.034724,WLP,INPUT,0,Margin of Error
1.053177,WLP,INPUT,0,Margin of Error
1.075699,WLP,INPUT,0,Margin of Error
1.094823,WLP,INPUT,0,Margin of Error
1.114948,WLP,INPUT,0,Margin of Error
1.128397,WLP,INPUT,0,Margin of Error
1.155479,WLP,INPUT,0,Margin of Error
1.174824,WLP,INPUT,0,Margin of Error
1.195819,WLP,INPUT,0,Margin of Error
1.214868,WLP,INPUT,0,Margin of Error
1.235766,WLP,INPUT,0,Margin of Error
1.254747,WLP,INPUT,0,Margin of Error
1.273782,WLP,INPUT,0,Margin of Error
1.294565,WLP,INPUT,0,Margin of Error
1.314853,WLP,INPUT,0,Margin of Error
1.33577,WLP,INPUT,0,Margin of Error
1.354473,WLP,INPUT,0,Margin of Error
1.374515,WLP,INPUT,0,Margin of Error
1.394286,WLP,INPUT,0,Margin of Error
1.414802,WLP,INPUT,0,Margin of Error
1.434907,WLP,INPUT,0,Margin of Error
1.455298,WLP,INPUT,0,Margin of Error
1.475798,WLP,INPUT,0,Margin of Error
1.495297,WLP,INPUT,0,Margin of Error
1.514319,WLP,INPUT,0,Margin of Error
1.535278,WLP,INPUT,0,Margin of Error
1.553938,WLP,INPUT,0,Margin of Error
1.575526,WLP,INPUT,0,Margin of Error
1.595839,WLP,INPUT,0,Margin of Error
1.6148,WLP,INPUT,0,Margin of Error
1.633939,WLP,INPUT,0,Margin of Error
1.655382,WLP,INPUT,0,Margin of Error
1.675308,WLP,INPUT,0,Margin of Error
1.693594,WLP,INPUT,0,Margin of Error
1.714831,WLP,INPUT,0,Margin of Error
1.734813,WLP,INPUT,0,Margin of Error
1.755317,WLP,INPUT,0,Margin of Error
1.775329,WLP,INPUT,0,Margin of Error
1.795305,WLP,INPUT,0,Margin of Error
1.815515,WLP,INPUT,0,Margin of Error
1.835807,WLP,INPUT,0,Margin of Error
1.855328,WLP,INPUT,0,Margin of Error
1.874731,WLP,INPUT,0,Margin of Error
1.894323,WLP,INPUT,0,Margin of Error
1.914375,WLP,INPUT,0,Margin of Error
1.934812,WLP,INPUT,0,Margin of Error
1.955293,WLP,INPUT,0,Margin of Error
1.975471,WLP,INPUT,0,Margin of Error
1.995297,WLP,INPUT,0,Margin of Error
2.014811,WLP,INPUT,0,Margin of Error
2.035092,WLP,INPUT,0,Margin of Error
2.055812,WLP,INPUT,0,Margin of Error
2.074873,WLP,INPUT,0,Margin of Error
2.093823,WLP,INPUT,0,Margin of Error
2.115296,WLP,INPUT,0,Margin of Error
2.135341,WLP,INPUT,0,Margin of Error
2.154662,WLP,INPUT,0,Margin of Error
2.174346,WLP,INPUT,0,Margin of Error
2.194809,WLP,INPUT,0,Margin of Error
2.215372,WLP,INPUT,0,Margin of Error
2.235363,WLP,INPUT,0,Margin of Error
2.254472,WLP,INPUT,0,Margin of Error
2.274318,WLP,INPUT,0,Margin of Error
2.294632,WLP,INPUT,0,Margin of Error
2.314421,WLP,INPUT,0,Margin of Error
2.335706,WLP,INPUT,0,Margin of Error
2.354439,WLP,INPUT,0,Margin of Error
2.37578,WLP,INPUT,0,Margin of Error
2.3958,WLP,INPUT,0,Margin of Error
2.414274,WLP,INPUT,0,Margin of Error
2.43571,WLP,INPUT,0,Margin of Error
2.454814,WLP,INPUT,0,Margin of Error
2.47534,WLP,INPUT,0,Margin of Error
2.494811,WLP,INPUT,0,Margin of Error
2.515343,WLP,INPUT,0,Margin of Error
2.535805,WLP,INPUT,0,Margin of Error
2.555374,WLP,INPUT,0,Margin of Error
2.573459,WLP,INPUT,0,Margin of Error
2.594796,WLP,INPUT,0,Margin of Error
2.614808,WLP,INPUT,0,Margin of Error
2.63582,WLP,INPUT,0,Margin of Error
2.654608,WLP,INPUT,0,Margin of Error
2.674799,WLP,INPUT,0,Margin of Error
2.695798,WLP,INPUT,0,Margin of Error
2.714827,WLP,INPUT,0,Margin of Error
2.734811,WLP,INPUT,0,Margin of Error
2.753972,WLP,INPUT,0,Margin of Error
2.774488,WLP,INPUT,0,Margin of Error
2.79437,WLP,INPUT,0,Margin of Error
2.813922,WLP,INPUT,0,Margin of Error
2.835302,WLP,INPUT,0,Margin of Error
2.85537,WLP,INPUT,0,Margin of Error
2.87437,WLP,INPUT,0,Margin of Error
2.893382,WLP,INPUT,0,Margin of Error
2.914739,WLP,INPUT,0,Margin of Error
2.935294,WLP,INPUT,0,Margin of Error
2.954738,WLP,INPUT,0,Margin of Error
2.973732,WLP,INPUT,0,Margin of Error
2.995251,WLP,INPUT,0,Margin of Error
3.015267,WLP,INPUT,0,Margin of Error
3.035276,WLP,INPUT,0,Margin of Error
3.054753,WLP,INPUT,0,Margin of Error
3.075257,WLP,INPUT,0,Margin of Error
3.095397,WLP,INPUT,0,Margin of Error
3.115759,WLP,INPUT,0,Margin of Error
3.13578,WLP,INPUT,0,Margin of Error
3.155302,WLP,INPUT,0,Margin of Error
3.174769,WLP,INPUT,0,Margin of Error
3.195787,WLP,INPUT,0,Margin of Error
3.213784,WLP,INPUT,0,Margin of Error
3.23507,WLP,INPUT,0,Margin of Error
3.254894,WLP,INPUT,0,Margin of Error
3.274773,WLP,INPUT,0,Margin of Error
3.294779,WLP,INPUT,0,Margin of Error
3.314416,WLP,INPUT,0,Margin of Error
3.334265,WLP,INPUT,0,Margin of Error
3.355329,WLP,INPUT,0,Margin of Error
3.374768,WLP,INPUT,0,Margin of Error
3.395269,WLP,INPUT,0,Margin of Error
3.415272,WLP,INPUT,0,Margin of Error
3.434775,WLP,INPUT,0,Margin of Error
3.454456,WLP,INPUT,0,Margin of Error
3.475297,WLP,INPUT,0,Margin of Error
3.495688,WLP,INPUT,0,Margin of Error
3.514799,WLP,INPUT,0,Margin of Error
3.534809,WLP,INPUT,0,Margin of Error
3.553826,WLP,INPUT,0,Margin of Error
3.573724,WLP,INPUT,0,Margin of Error
3.595682,WLP,INPUT,0,Margin of Error
3.613675,WLP,INPUT,0,Margin of Error
3.635696,WLP,INPUT,0,Margin of Error
3.655179,WLP,INPUT,0,Margin of Error
3.675192,WLP,INPUT,0,Margin of Error
3.694679,WLP,INPUT,0,Margin of Error
3.714906,WLP,INPUT,0,Margin of Error
3.733978,WLP,INPUT,0,Margin of Error
3.754354,WLP,INPUT,0,Margin of Error
3.775327,WLP,INPUT,0,Margin of Error
3.795823,WLP,INPUT,0,Margin of Error
3.815706,WLP,INPUT,0,Margin of Error
3.83472,WLP,INPUT,0,Margin of Error
3.855201,WLP,INPUT,0,Margin of Error
3.874369,WLP,INPUT,0,Margin of Error
3.894712,WLP,INPUT,0,Margin of Error
3.914738,WLP,INPUT,0,Margin of Error
3.935392,WLP,INPUT,0,Margin of Error
3.954438,WLP,INPUT,0,Margin of Error
3.973233,WLP,INPUT,0,Margin of Error
3.99346,WLP,INPUT,0,Margin of Error
4.01528,WLP,INPUT,0,Margin of Error
4.035265,WLP,INPUT,0,Margin of Error
4.054261,WLP,INPUT,0,Margin of Error
4.074969,WLP,INPUT,0,Margin of Error
4.094739,WLP,INPUT,0,Margin of Error
4.115259,WLP,INPUT,0,Margin of Error
4.13478,WLP,INPUT,0,Margin of Error
4.155812,WLP,INPUT,0,Margin of Error
4.175808,WLP,INPUT,0,Margin of Error
4.195773,WLP,INPUT,0,Margin of Error
4.21477,WLP,INPUT,0,Margin of Error
4.234868,WLP,INPUT,0,Margin of Error
4.255274,WLP,INPUT,0,Margin of Error
4.274836,WLP,INPUT,0,Margin of Error
4.295046,WLP,INPUT,0,Margin of Error
4.315795,WLP,INPUT,0,Margin of Error
4.334904,WLP,INPUT,0,Margin of Error
4.355056,WLP,INPUT,0,Margin of Error
4.37583,WLP,INPUT,0,Margin of Error
4.394775,WLP,INPUT,0,Margin of Error
4.415295,WLP,INPUT,0,Margin of Error
4.433689,WLP,INPUT,0,Margin of Error
